title,status,request_date,completion_date,details,client_id,artisan_id
Paint living room,Rejected,2025-01-03 23:09:51,2025-01-23 23:09:51,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",10,10
Fix leaky faucet,Accepted,2024-12-15 15:46:42,2024-12-29 15:46:42,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,2,6
Construct outdoor deck,Pending,2024-12-22 15:50:01,2025-01-21 15:50:01,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",7,9
Assist with medical check-up,Completed,2024-12-21 15:24:30,2025-01-09 15:24:30,"This project entails providing support during a medical check-up, ensuring all necessary information is gathered and questions are addressed.",3,10
Design new website,Accepted,2024-12-06 00:39:45,2024-12-30 00:39:45,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,1,4
Design new website,Rejected,2025-01-01 10:01:46,2025-01-21 10:01:46,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,9,8
Design new website,Accepted,2024-12-11 06:31:51,2025-01-02 06:31:51,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,3,4
Paint living room,Accepted,2025-01-19 06:48:05,2025-02-10 06:48:05,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",6,2
Tune-up car engine,Accepted,2024-12-21 00:59:44,2025-01-05 00:59:44,"This project aims to perform a comprehensive tune-up on your car's engine, ensuring optimal performance and longevity.",3,8
Construct outdoor deck,Completed,2025-01-02 22:27:43,2025-01-16 22:27:43,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",8,9
Fix leaky faucet,Rejected,2024-12-09 19:03:38,2024-12-29 19:03:38,This project involves identifying the source of the leak and replacing any worn-out washers or seals to ensure the faucet operates properly.,6,3
Repair broken laptop,Pending,2024-12-06 16:58:39,2025-01-02 16:58:39,"In this project, we will diagnose and fix issues with your laptop, which may include replacing hardware components or reinstalling software.",7,4
Design new website,Accepted,2024-12-12 04:49:59,2025-01-04 04:49:59,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,3,4
Design new website,Accepted,2025-01-23 12:31:18,2025-02-09 12:31:18,This project focuses on creating a modern and user-friendly website that effectively represents your brand and engages visitors.,2,7
Construct outdoor deck,Rejected,2025-01-16 01:44:11,2025-01-28 01:44:11,"In this project, we will design and build a durable outdoor deck that enhances your backyard space and provides a great area for relaxation.",10,10
Deep clean kitchen,Completed,2024-12-09 00:23:16,2025-01-08 00:23:16,"This project involves a thorough cleaning of the kitchen, including scrubbing surfaces, organizing cabinets, and sanitizing appliances.",6,2
Paint living room,Accepted,2025-01-09 08:32:35,2025-01-26 08:32:35,"The goal of this project is to refresh the living room by applying a new coat of paint, choosing colors that complement the existing decor.",9,6
